Name,Scholar Link,DOI,Bibtex,PDF Name,Year,Scholar page,Journal,Downloaded,Downloaded from,Authors
"Antimicrobial drug resistance as determined by the E-test in Campylobacter jejuni, C. coli, and C. lari isolates from the ceca of broiler and layer chickens in Grenada",,10.1016/j.cimid.2008.01.010,True,Antimicrobial drug resistance as determined by the E-test in Campylobacter jejuni_ C. coli_ and C. lari isolates from the ceca of broiler and layer chickens in Grenada.pdf,2009,,Elsevier {BV},True,SciHub,Harry Hariharan and Shilpa Sharma and Alfred Chikweto and Vanessa Matthew and Claude DeAllie
Genetic characterization of Staphylococcus aureus isolated from nasal samples of healthy ewes in Tunisia. High prevalence of CC130 and CC522 lineages,,10.1016/j.cimid.2017.03.002,True,Genetic characterization of Staphylococcus aureus isolated from nasal samples of healthy ewes in Tunisia. High prevalence of CC130 and CC522 lineages.pdf,2017,,Elsevier {BV},True,SciHub,Meriam Ben Said and Mohamed Salah Abbassi and Paula G{\'{o}}mez and Laura Ruiz-Ripa and Senda Sghaier and Oussama El Fekih and Abdennaceur Hassen and Carmen Torres
Antimicrobial resistant Escherichia coli in the reproductive tract microbiota of cows and sows,,10.1016/j.cimid.2017.09.002,True,Antimicrobial resistant Escherichia coli in the reproductive tract microbiota of cows and sows.pdf,2017,,Elsevier {BV},True,SciHub,Andrea Torres Luque and Candelaria Gonzalez Moreno and Sergio E. Pasteris and Jos{\'{e}} A. Orden and Ricardo de la Fuente and Mar{\'{\i}}a C. Otero
Staphylococcus aureus complex from animals and humans in three remote African regions,,10.1016/j.cmi.2014.12.001,True,Staphylococcus aureus complex from animals and humans in three remote African regions.pdf,2015,,Elsevier {BV},True,SciHub,Frieder Schaumburg and Maude Pauly and Etile Anoh and Arsene Mossoun and Lidewij Wiersma and Grit Schubert and Arnaud Flammen and Abraham S. Alabi and Jean-Jacques Muyembe-Tamfum and Martin P. Grobusch and Stomy Karhemere and Chantal Akoua-Koffi and Emmanuel Couacy-Hymann and Peter G. Kremsner and Alexander Mellmann and Karsten Becker and Fabian H. Leendertz and Georg Peters
Evaluation and characterization of plasmids carrying CTX-M genes in a non-clonal population of multidrug-resistant Enterobacteriaceae isolated from poultry in Brazil,,10.1016/j.diagmicrobio.2016.05.011,True,Evaluation and characterization of plasmids carrying CTX-M genes in a non-clonal population of multidrug-resistant Enterobacteriaceae isolated from poultry in Brazil.pdf,2016,,Elsevier {BV},True,SciHub,Joseane Cristina Ferreira and Rafael Antonio Casarin Penha Filho and Leonardo Neves Andrade and Angelo Berchieri Junior and Ana L{\'{u}}cia Costa Darini
Diversity of plasmids harboring bla CMY-2 in multidrug-resistant Escherichia coli isolated from poultry in Brazil,,10.1016/j.diagmicrobio.2017.04.014,True,Diversity of plasmids harboring bla CMY-2 in multidrug-resistant Escherichia coli isolated from poultry in Brazil.pdf,2017,,Elsevier {BV},True,SciHub,Joseane Cristina Ferreira and Rafael Antonio Casarin Penha Filho and Leonardo Neves Andrade and Angelo Berchieri Junior and Ana L{\'{u}}cia Costa Darini
The prevalence of mcr -1 and resistance characteristics of Escherichia coli isolates from diseased and healthy pigs,,10.1016/j.diagmicrobio.2017.12.014,True,The prevalence of mcr -1 and resistance characteristics of Escherichia coli isolates from diseased and healthy pigs.pdf,2018,,Elsevier {BV},True,SciHub,Xiao-shen Li and Bao-guang Liu and Peng Dong and Fu-lin Li and Li Yuan and Gong-zheng Hu
"Prevalence and antimicrobial resistance of Salmonella enteritidis and other salmonellas in the eggs and egg-storing trays from retails markets of Coimbatore, South India",,10.1016/j.fm.2005.04.001,True,Prevalence and antimicrobial resistance of Salmonella enteritidis and other salmonellas in the eggs and egg-storing trays from retails markets of Coimbatore_ South India.pdf,2006,,Elsevier {BV},True,SciHub,T. Suresh and A.A.M. Hatha and D. Sreenivasan and Nathan Sangeetha and P. Lashmanaperumalsamy
"Prevalence and characterization of Escherichia coli O157:H7 isolates from meat and meat products sold in Amathole District, Eastern Cape Province of South Africa",,10.1016/j.fm.2008.10.001,True,Prevalence and characterization of Escherichia coli O157_H7 isolates from meat_and meat products sold in Amathole District_ Eastern Cape Province of South Africa.pdf,2009,,Elsevier {BV},True,SciHub,Benard O. Abong{\textquotesingle}o and Maggy N.B. Momba
Molecular characterization and antimicrobial resistance of Salmonella enterica from swine slaughtered in two different types of Philippine abattoir,,10.1016/j.fm.2017.01.016,True,Molecular characterization and antimicrobial resistance of Salmonella enterica from swine slaughtered in two different types of Philippine abattoir.pdf,2017,,Elsevier {BV},True,SciHub,Alyzza Marie B. Calayag and Phyllis Anne P. Paclibare and Pauline Dianne M. Santos and Corinne Aimee C. Bautista and Windell L. Rivera
East and West African milk products are reservoirs for human and livestock-associated Staphylococcus aureus,,10.1016/j.fm.2017.01.017,True,East and West African milk products are reservoirs for human and livestock-associated Staphylococcus aureus.pdf,2017,,Elsevier {BV},True,SciHub,Christoph Jans and Axel Merz and Sophia Johler and Mario Younan and Sabine A. Tanner and Dasel Wambua Mulwa Kaindi and John Wangoh and Bassirou Bonfoh and Leo Meile and Taurai Tasara
"Comparison of Staphylococcus aureus isolates from food handlers, raw bovine milk and Minas Frescal cheese by antibiogram and pulsed-field gel electrophoresis following SmaI digestion",,10.1016/j.foodcont.2007.03.010,True,,2008,,Elsevier {BV},False,,Maria Cl{\'{a}}udia D.P.B. Andr{\'{e}} and Maria Raquel Hidalgo Campos and Liana Jayme Borges and Andr{\'{e}} Kipnis and Fabiana Cristina Pimenta and {\'{A}}lvaro Bisol Serafini
"Prevalence, genetic characterization and antimicrobial resistance of Salmonella isolated from fresh pork sausages in Porto Alegre, Brazil",,10.1016/j.foodcont.2008.04.007,True,Prevalence_ genetic characterization and antimicrobial resistance of Salmonella isolated from fresh pork sausages in Porto Alegre_ Brazil.pdf,2009,,Elsevier {BV},True,SciHub,Lisandra MÃ¼rmann and Maria Cec{\'{\i}}lia dos Santos and Marisa Cardoso
